month,count,percentage
2024-01,25635,8.394871710903345
2024-02,24515,8.028097522636845
2024-03,25918,8.487547688831398
2024-04,27706,9.073076482242563
2024-05,23600,7.728456109901266
2024-06,24629,8.065429895371114
2024-07,25366,8.306780410328624
2024-08,23436,7.674749889476528
2024-09,23002,7.53262489152326
2024-10,24793,8.11913611579585
2024-11,26756,8.761973376123656
2024-12,30009,9.827255906865554
